"RamDA_mESC_00h_A04"	"RamDA_mESC_00h_A05"	"RamDA_mESC_00h_A06"	"RamDA_mESC_00h_A07"	"RamDA_mESC_00h_A08"	"RamDA_mESC_00h_A09"	"RamDA_mESC_00h_A10"	"RamDA_mESC_00h_A11"	"RamDA_mESC_00h_A12"	"RamDA_mESC_00h_B01"	"RamDA_mESC_00h_B02"	"RamDA_mESC_00h_B03"	"RamDA_mESC_00h_B04"	"RamDA_mESC_00h_B05"	"RamDA_mESC_00h_B06"	"RamDA_mESC_00h_B07"	"RamDA_mESC_00h_B08"	"RamDA_mESC_00h_B09"	"RamDA_mESC_00h_B10"	"RamDA_mESC_00h_B11"	"RamDA_mESC_00h_B12"	"RamDA_mESC_00h_C01"	"RamDA_mESC_00h_C02"	"RamDA_mESC_00h_C03"	"RamDA_mESC_00h_C04"	"RamDA_mESC_00h_C05"	"RamDA_mESC_00h_C06"	"RamDA_mESC_00h_C07"	"RamDA_mESC_00h_C08"	"RamDA_mESC_00h_C09"	"RamDA_mESC_00h_C10"	"RamDA_mESC_00h_C11"	"RamDA_mESC_00h_D01"	"RamDA_mESC_00h_D02"	"RamDA_mESC_00h_D03"	"RamDA_mESC_00h_D04"	"RamDA_mESC_00h_D05"	"RamDA_mESC_00h_D06"	"RamDA_mESC_00h_D07"	"RamDA_mESC_00h_D08"	"RamDA_mESC_00h_D09"	"RamDA_mESC_00h_D10"	"RamDA_mESC_00h_D11"	"RamDA_mESC_00h_D12"	"RamDA_mESC_00h_E01"	"RamDA_mESC_00h_E02"	"RamDA_mESC_00h_E03"	"RamDA_mESC_00h_E04"	"RamDA_mESC_00h_E05"	"RamDA_mESC_00h_E06"	"RamDA_mESC_00h_E07"	"RamDA_mESC_00h_E08"	"RamDA_mESC_00h_E09"	"RamDA_mESC_00h_E10"	"RamDA_mESC_00h_E11"	"RamDA_mESC_00h_E12"	"RamDA_mESC_00h_F01"	"RamDA_mESC_00h_F02"	"RamDA_mESC_00h_F03"	"RamDA_mESC_00h_F04"	"RamDA_mESC_00h_F05"	"RamDA_mESC_00h_F06"	"RamDA_mESC_00h_F07"	"RamDA_mESC_00h_F08"	"RamDA_mESC_00h_F09"	"RamDA_mESC_00h_F10"	"RamDA_mESC_00h_F11"	"RamDA_mESC_00h_F12"	"RamDA_mESC_00h_G01"	"RamDA_mESC_00h_G02"	"RamDA_mESC_00h_G03"	"RamDA_mESC_00h_G04"	"RamDA_mESC_00h_G05"	"RamDA_mESC_00h_G06"	"RamDA_mESC_00h_G07"	"RamDA_mESC_00h_G08"	"RamDA_mESC_00h_G09"	"RamDA_mESC_00h_G10"	"RamDA_mESC_00h_G11"	"RamDA_mESC_00h_G12"	"RamDA_mESC_00h_H01"	"RamDA_mESC_00h_H02"	"RamDA_mESC_00h_H03"	"RamDA_mESC_00h_H04"	"RamDA_mESC_00h_H05"	"RamDA_mESC_00h_H06"	"RamDA_mESC_00h_H07"	"RamDA_mESC_00h_H08"	"RamDA_mESC_00h_H09"	"RamDA_mESC_00h_H10"	"RamDA_mESC_00h_H11"	"RamDA_mESC_00h_H12"	"RamDA_mESC_72h_A04"	"RamDA_mESC_72h_A05"	"RamDA_mESC_72h_A06"	"RamDA_mESC_72h_A07"	"RamDA_mESC_72h_A08"	"RamDA_mESC_72h_A09"	"RamDA_mESC_72h_A10"	"RamDA_mESC_72h_A11"	"RamDA_mESC_72h_A12"	"RamDA_mESC_72h_B01"	"RamDA_mESC_72h_B02"	"RamDA_mESC_72h_B03"	"RamDA_mESC_72h_B04"	"RamDA_mESC_72h_B05"	"RamDA_mESC_72h_B06"	"RamDA_mESC_72h_B07"	"RamDA_mESC_72h_B08"	"RamDA_mESC_72h_B09"	"RamDA_mESC_72h_B10"	"RamDA_mESC_72h_B11"	"RamDA_mESC_72h_B12"	"RamDA_mESC_72h_C01"	"RamDA_mESC_72h_C02"	"RamDA_mESC_72h_C03"	"RamDA_mESC_72h_C04"	"RamDA_mESC_72h_C05"	"RamDA_mESC_72h_C06"	"RamDA_mESC_72h_C07"	"RamDA_mESC_72h_C08"	"RamDA_mESC_72h_C09"	"RamDA_mESC_72h_C10"	"RamDA_mESC_72h_C11"	"RamDA_mESC_72h_C12"	"RamDA_mESC_72h_D01"	"RamDA_mESC_72h_D02"	"RamDA_mESC_72h_D03"	"RamDA_mESC_72h_D04"	"RamDA_mESC_72h_D05"	"RamDA_mESC_72h_D06"	"RamDA_mESC_72h_D07"	"RamDA_mESC_72h_D08"	"RamDA_mESC_72h_D09"	"RamDA_mESC_72h_D10"	"RamDA_mESC_72h_D11"	"RamDA_mESC_72h_D12"	"RamDA_mESC_72h_E01"	"RamDA_mESC_72h_E02"	"RamDA_mESC_72h_E03"	"RamDA_mESC_72h_E04"	"RamDA_mESC_72h_E05"	"RamDA_mESC_72h_E06"	"RamDA_mESC_72h_E07"	"RamDA_mESC_72h_E08"	"RamDA_mESC_72h_E09"	"RamDA_mESC_72h_E10"	"RamDA_mESC_72h_E11"	"RamDA_mESC_72h_E12"	"RamDA_mESC_72h_F01"	"RamDA_mESC_72h_F02"	"RamDA_mESC_72h_F03"	"RamDA_mESC_72h_F04"	"RamDA_mESC_72h_F05"	"RamDA_mESC_72h_F06"	"RamDA_mESC_72h_F07"	"RamDA_mESC_72h_F08"	"RamDA_mESC_72h_F09"	"RamDA_mESC_72h_F10"	"RamDA_mESC_72h_F11"	"RamDA_mESC_72h_F12"	"RamDA_mESC_72h_G01"	"RamDA_mESC_72h_G02"	"RamDA_mESC_72h_G03"	"RamDA_mESC_72h_G04"	"RamDA_mESC_72h_G05"	"RamDA_mESC_72h_G06"	"RamDA_mESC_72h_G07"	"RamDA_mESC_72h_G08"	"RamDA_mESC_72h_G09"	"RamDA_mESC_72h_G10"	"RamDA_mESC_72h_G11"	"RamDA_mESC_72h_G12"	"RamDA_mESC_72h_H01"	"RamDA_mESC_72h_H02"	"RamDA_mESC_72h_H03"	"RamDA_mESC_72h_H04"	"RamDA_mESC_72h_H05"	"RamDA_mESC_72h_H06"	"RamDA_mESC_72h_H07"	"RamDA_mESC_72h_H08"	"RamDA_mESC_72h_H09"	"RamDA_mESC_72h_H10"	"RamDA_mESC_72h_H11"	"RamDA_mESC_72h_H12"
"ENSMUST00000018050.13"	0	0	0	0	0	0	0	0	0.322085	0	0.963092	0	0.492213	0.896006	0.273437	3.08823	0	0	0	0.811829	0	0	0	0.266295	0	0	0	0.646918	0	0	0.901433	0	0.55014	0.615416	0	0	0	0	0.583119	0.694518	0	0.569109	0.580696	1.3009	0	0	0.531463	0	0	0	0	1.71704e-07	0	0	0.500023	0.38614	0.000391815	0	0	0.636547	0.868134	0	0	1.02991	0	2.11841	0	0	0	0	0	0.595125	0.471055	1.08231	0	1.36172	0	0	0.709221	1.23926e-09	0	0	0	0.423745	0	0	0	0.654723	0	0	0.00205756	0	2.02564e-08	0	4.81963e-07	0	0	0	1.22642e-08	6.05881e-07	0	0	0.859414	0	0	0	0	3.5185e-07	0	0	0	0	0	0	0	0	0	0	0	0	0.208434	0	0.684267	1.8177	0	0	0	1.35461e-06	0	0	0	0	0	0.696371	0	0	0.826883	0	0	0	0	0.698021	0.0128846	0	1.61625	0.720776	0	0	0	0	0	0	0	0	0	0	0.000650217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.44888	3.87916e-09	0	0	0	0	0	0	0	0	0.446658	0	0
"ENSMUST00000020106.7"	51.3712	47.1107	53.2648	28.7508	48.1014	57.9888	39.1257	43.5875	33.8533	32.9067	36.7194	27.8881	38.2215	33.8251	46.7266	25.3972	44.1194	23.0981	48.5487	44.916	61.7804	42.7793	58.0767	27.0886	28.2147	28.7366	47.8905	35.479	32.7662	37.1373	40.627	41.986	42.4163	33.5653	31.2156	37.3822	33.7309	47.0318	34.1842	42.2797	24.5847	54.9378	39.4693	49.7864	45.5462	34.4966	42.0963	36.4162	47.2129	30.9687	28.4564	27.6521	32.4496	19.25	35.357	28.3474	43.3226	25.335	35.4438	41.3341	27.4668	45.1337	46.1163	34.928	37.8404	43.1489	47.3352	54.1869	33.0684	23.6826	41.7951	40.4083	36.5471	39.0136	35.7182	47.3338	41.9042	45.0454	48.0791	52.2506	44.3805	43.1939	27.47	20.3479	50.3714	32.46	35.3855	41.3141	30.9404	36.2533	45.5737	38.2256	25.5876	32.8247	32.2279	47.3652	37.8391	28.5798	44.3746	34.5132	69.1367	19.1446	35.442	50.2937	33.4648	39.0107	42.2649	44.3473	66.3842	47.0745	63.1378	39.5565	74.5166	40.6982	34.8914	39.0818	30.2364	22.9254	15.2758	40.2878	36.9163	35.1806	34.5731	31.9451	24.3194	21.175	34.4031	49.0239	32.7698	59.4112	24.5634	43.0348	39.8143	37.1594	66.3661	33.3308	30.632	62.9878	38.6858	33.3306	37.4979	53.2552	32.217	34.6301	29.0293	30.6868	24.8739	41.7054	56.7352	21.2858	19.5502	24.8425	48.0741	27.4475	30.3196	30.902	43.3015	22.483	39.0289	61.1559	17.7666	26.8371	26.818	51.2009	54.9718	46.7639	46.6145	40.5448	42.8797	29.6785	26.1402	23.9024	7.95718	34.0726	39.6609	63.2192	29.5569	44.8971	31.6095	39.6196	46.011	43.9139	32.0471	45.1659	48.0185
"ENSMUST00000027040.12"	0	0.274057	2.29964	0	0	0	0	0	1.10543	0	0	0	0.414159	0	0	0.467092	0	2.20446	0	0.745395	0	0	0	0	0	0	0	0	0	0.907597	0	0.507939	0	0.73168	0	1.61309	0	0	0	0	0	0.240683	1.11675	0	0.185978	0	0	0	0	0	0	0	0	0	0	0	0.333844	0	0.348311	0	0	0.585907	0	0	0.560616	0	0.456164	0.418974	0	0	0	0.261134	1.48934	0	0	0.29398	0.236792	0	1.65377	1.62997	0	0	0	0	0.910391	0	0.87979	0	0	0.67513	0	0.228465	0	0	0.801562	2.4932	1.70604	0	1.56135	1.92455	0	2.5754	1.33242	0	0	0	0.840952	0.725624	0	0.781125	0	0	0	0.402705	0.62031	0	1.38685	0	0	2.64555	0.397778	0.356365	0	0.634329	0	0	0.791669	1.86766	0	0.925024	3.24334	2.21666	0.504783	0	0.845024	0.4171	1.67439	1.11867	0.688281	0	0	0	0	0	1.8742	0.909799	1.04468	0	0	0.648814	0	0.333874	0	1.14705	0.28704	0	0	1.32808	0.955232	0	0.575546	0	0	0.792297	0.603819	1.67846	0.940225	0.432925	1.3252	0.657933	0.367285	0.783076	0.898181	0.436539	0	3.3569	0	0	0	0.551095	2.1684	0	1.05832	0	0
"ENSMUST00000027050.9"	3.06885	5.26288	8.74351	6.6408	5.20693	13.2679	3.07121	10.9433	8.61722	3.08453	12.4543	11.5715	10.7141	3.60622	8.53139	5.33979	15.1991	21.8166	8.64804	4.9351	10.9292	2.59708	9.72329	8.75976	7.14224	6.84264	20.6476	11.3271	14.5246	14.5535	0	19.5943	9.7986	5.61152	8.12885	9.86859	15.0892	11.9817	6.97386	10.6471	8.2994	7.60569	9.62019	8.64053	11.8167	10.603	11.8624	8.13538	24.6732	13.0242	12.8711	6.08281	12.499	18.8127	7.05052	0	13.6048	13.3831	10.9398	4.92122	7.1665	5.64183	8.11789	9.84889	7.99788	6.86598	5.55745	14.0553	6.36921	8.93833	9.47246	4.31649	12.4879	9.16542	5.01888	12.3205	8.35013	10.1134	6.45796	1.79939	6.78234	7.18176	8.12573	4.88429	7.68764	12.5579	7.86718	3.18567	8.80628	10.5397	6.37676	5.04085	6.78933	5.4289	7.13458	9.07251	0	19.159	9.60231	11.6481	2.11964	9.05124	15.4112	6.24609	2.55496	9.52158	8.12759	8.84868	8.53358	8.81554	10.7411	5.12121	1.05349	15.5366	12.5022	12.3713	7.97399	6.08718	7.8931	7.59228	7.18719	12.9005	9.07208	5.6784	9.02818	12.1354	15.5982	12.9763	7.15598	11.3435	10.3883	5.85867	7.23637	9.58397	13.245	8.56828	11.2329	3.13242	5.21005	7.97769	4.56855	7.04374	7.54017	7.14056	9.22366	11.9467	7.75748	5.33719	3.76162	2.9869	10.9436	9.44873	5.8281	18.5473	7.90711	9.91018	10.0997	7.30936	5.80259	9.73057	7.13566	7.61682	17.1269	13.7037	6.26574	16.7139	5.93542	3.90557	4.45511	11.2906	9.36415	14.8926	5.6736	11.4494	11.4074	12.1538	10.0249	6.96225	6.06332	10.3664	3.49175	7.33089	8.80558	8.84773	4.28999
"ENSMUST00000035577.6"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.425933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUST00000044369.12"	7.21712	3.21898	2.72644	9.04437	2.43279	1.67471	1.06324	1.86883	7.78574	2.09068	9.15922	4.45598	0	3.85845	0	2.81224	7.29391	5.60027	6.96153	12.1819	12.3879	17.9137	5.4499	6.2009	5.60496	2.7008	2.39239	10.439	6.74217	0	3.61449	4.38502	6.32026	2.07815	7.80274	2.75761	4.92685	6.22668	4.2392	6.42182	0	9.85132	3.48711	3.22762	5.64949	7.1607	11.1945	3.78094	3.23494	4.82784	1.32609	2.5496	6.90003	1.58989e-05	0	0	6.57729	5.24942	1.07219	1.76298	0	1.11332e-08	4.03019	2.19787	0	0	2.07576	0	4.61156	0	0	6.81188	2.45288	2.3009	0	16.595	9.20387	3.24706	1.19224	1.95251	4.555	0.0112273	0.931406	8.19855	5.76989	8.7808	0.000435832	1.99608	0	1.11111e-07	3.46536	4.61162	3.09997e-06	5.01139	3.31725e-08	0	8.77368	9.03062	2.27392	10.2252	11.8896	4.3143	8.24063	0.127306	3.96613	10.2366	8.15346	8.14765	3.94254	1.09806e-06	8.86802	10.2807	8.14937	8.27189	11.7854	14.4815	9.58934	3.54786	0.0436742	8.26272	6.7393e-06	0.907117	2.9471	16.572	5.0366	18.9097	7.71691	4.60502	4.8514	1.00456	8.29842	6.57197	2.27905	0	9.65172	3.65605	20.7051	2.58764	5.97219	2.74887	10.5276	12.2537	5.88559	5.15201	4.13181	7.41569	8.01799	4.28744	0	7.19814	0	0	4.15588	1.70517	13.3603	16.981	3.79107	6.35875	10.2714	17.7936	6.20963	5.71065	11.8953	10.5577	11.2971	8.7419	2.86608e-09	6.62963	11.6066	2.40741	17.2409	15.9733	0	0	6.78842e-08	0.00422305	8.79884	0.0145077	9.68883	0	8.25201	0	0	5.75872	6.9427
"ENSMUST00000047762.7"	71.253	41.4006	40.91	42.324	76.0094	51.6106	49.3855	11.2228	66.2648	42.1894	51.13	43.6662	47.5167	12.0485	63.1021	32.9852	24.9924	38.8764	48.6297	34.2136	51.5299	62.0104	66.2544	64.4099	41.647	23.8617	64.5811	33.7093	54.6134	24.4473	40.8928	73.2093	36.5442	30.8732	42.2202	54.1094	46.885	69.6847	37.7145	7.15889	29.4472	5.02492	71.218	28.0369	5.88617	17.3586	36.8177	53.2655	68.7072	62.7684	29.6647	40.5109	32.8734	36.0458	40.6578	10.6412	43.3477	40.4857	45.5553	43.1543	69.7303	37.8115	54.8398	45.6725	37.6235	55.7563	65.5163	28.6893	43.4573	47.7184	47.6101	45.7652	54.6066	51.456	45.5818	74.987	42.0935	37.4266	44.1081	164.844	20.2641	52.8476	33.9491	35.9011	47.9799	43.805	36.0997	34.7173	42.4953	48.5441	45.4479	33.7716	154.797	154.854	93.6807	175.124	135.108	135.931	122.099	221.539	108.518	142.542	135.985	153.412	165.103	186.943	269.634	125.726	150.858	166.8	111.413	117.409	91.9599	183.965	196.583	179.971	167.4	142.306	190.538	151.753	156.195	168.981	177.236	142.471	136.91	153.187	120.236	158.627	166.714	116.172	131.796	155.104	127.275	192.233	122.71	289.473	187.153	86.7172	166.831	110.281	385.23	127.975	133.094	187.551	124.142	232.808	205.451	69.3645	169.781	226.856	176.236	104.692	96.3231	204.116	135.441	116.382	110.118	144.341	190.324	121.256	290.426	134.646	165.842	159.497	117.234	101.431	140.476	204.763	111.311	183.324	120.957	202.276	205.819	134.311	148.083	154.669	81.6548	93.5037	202.51	188.324	176.443	208.634	111.626	169.882	170.209
"ENSMUST00000052843.11"	0.125758	0.296876	0.12885	0.133298	0	0.604496	0	0	0	0.242943	0	0.788579	0	0.121568	0.767142	0.288604	0.242513	0	0	0.740675	0	0.124256	0	0.1175	0	0	0.283748	0.734407	0	0.67328	0	0	0	0	0	0	0.976525	0.267514	0.452637	0	0.288193	0.365694	0	0.374608	0.131591	0	0	0.214597	0.323039	0	0	0	1.019	0	0	0	0.487546	0	0.236092	0.608945	0	0.229926	0.415517	0	0.123266	0	0	0	0.129369	0.134006	0.131436	0.341788	0.24954	0	0	0.133277	0.446856	0	0.354157	0.593364	0	0	0.129456	0.132042	0.258166	0	0	0.733022	0	0	0.362362	0	0	0.165162	0.31277	0	0	0	0	0	0	0.149794	0.1471	0.347511	0.124092	0.136896	0.132914	0.260396	1.01863	0.133646	0	0	0.543317	0.292541	0	0.570622	0	0.243438	0	0.403173	0.429069	0	0	0	0	0	0	0.137745	0	0	0.263397	0	0	0.447908	0.187781	0	0	0	0	0.332347	0	0	0.63019	0	0	0	0	0	0.267372	0	0.121559	0	0	0	0.129118	0	0.139665	0	0	0	0	0.50444	0	0	0	0	0.257092	0	0	0	0	0	0.299132	0	0	0	0.486582	0	0.155694	0.297198	0	0	0.525373	0	0
"ENSMUST00000052999.12"	16.0905	3.20896	50.486	4.77775	7.74928	8.25176	14.2686	3.54575	15.2018	8.31489	7.77445	14.1568	7.86265	0	0.111643	0	5.26235	14.481	8.33575	13.7747	8.31444	3.63359	0	19.088	34.4239	0	22.1298	6.48238	22.3346	16.8193	12.8716	11.7625	24.8459	5.3315	10.3584	12.8447	4.93247	14.2371	0	4.11174	25.0143	0	0	0	26.4585	11.8224	10.679	20.9547	9.57843	5.89444	6.43891	10.6663	16.1698	12.462	11.9535	5.36072	19.3822	10.6181	10.0285	14.638	3.06876	12.5869	7.76776	37.0658	12.4599	0.00801279	17.1403	10.1092	0	11.8351	4.88095	7.00869	2.70741	0	29.4813	11.9979	5.56908	14.9988	2.56165	0	0.252655	28.2462	5.23924	9.48428	1.31566	22.6382	23.6453	15.906	21.3265	7.93126	9.5454	34.1959	4.52301	7.78426	31.6895	22.6103	24.7682	20.3052	14.9577	10.0673	69.7271	8.51608	6.53043	46.6637	9.13307	56.2594	13.2687	22.1915	71.2006	20.5799	55.3374	73.2551	3.7341	19.7868	6.2097	6.3605	4.53403	1.88136	18.5341	27.8027	0.394018	0	3.41659	0.171684	26.6955	0	27.7336	15.0822	24.4969	0	19.198	42.9834	45.6694	5.03209	94.9439	12.3109	6.81564	5.72249	8.38052	16.5152	27.17	0	23.9646	13.8478	57.8668	7.80761	33.357	6.75705	17.0947	2.06777e-08	6.97013	15.7221	1.30801	11.5694	10.3987	53.4118	13.1901	7.64781	13.5999	45.6024	6.30786	40.4848	12.1151	0.0117664	0	3.5296	9.48089	21.8394	11.7332	6.80021	49.3271	0	10.5038	4.74701	37.4457	14.295	0	12.2315	1.76322	5.53741	9.26154	1.94929	13.8946	26.1745	20.1682
"ENSMUST00000057438.6"	4.26483	6.30851	3.0301	4.14761	3.07398	5.50993	2.08566	2.0548	3.40009	1.88465	4.89552	5.29603	5.92221	5.12211	5.19137	5.69142	6.50174	4.69933	1.40841	5.38413	2.52865	5.77424	2.60289	5.78337	2.964	4.18254	2.41872	2.99547	3.54131	3.38164	4.61512	4.53442	4.1289	2.84533	2.67931	6.55463	5.15187	4.8549	3.62823	4.79972	6.69668	4.84836	4.77089	4.02003	5.42762	1.68128	6.21253	6.64908	4.81016	3.84779	4.74866	5.9863	4.58675	4.53836	3.61289	3.93301	5.73632	5.60635	4.38314	3.34524	4.17476	3.81741	4.42949	3.55048	3.57187	6.25387	2.56304	3.3897	3.95647	4.8943	3.65027	3.13275	6.37646	4.77453	4.98705	6.66263	4.97528	4.97944	5.22625	5.01714	6.5399	3.70256	4.44961	6.09973	6.95059	5.00022	3.29545	6.65152	4.90861	4.428	4.71525	3.56765	5.30876	5.08649	3.49051	7.83687	5.65493	4.68713	4.10805	5.43172	5.27446	7.05232	7.52345	4.96656	6.44829	4.34241	3.31901	4.99101	6.16005	3.4289	3.8774	4.26528	6.47119	3.80235	6.26836	3.98841	3.92913	7.29634	7.73246	4.21746	4.15303	5.25065	1.1405	2.3668	5.21639	6.42414	2.77359	8.29491	4.8978	4.09145	2.31767	4.41803	3.74581	4.54688	7.19086	7.87056	4.25121	6.35801	4.30966	5.31573	4.32066	6.63781	3.74331	1.6498	4.43152	9.40465	6.28758	4.58901	3.95307	2.86905	4.59642	3.69212	5.51948	7.88318	5.80558	2.62866	1.60196	4.0742	4.8155	4.42785	6.83775	4.30539	1.56109	5.32645	3.43706	4.06045	3.77269	5.28144	5.14354	2.12749	7.76422	4.60909	3.45301	4.84059	3.06196	5.02354	5.44107	5.66781	6.14375	4.24951	7.47921	5.84081	5.27279	3.28044	2.89177
